"a-profile-name","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading"
"Tom","5.0 颗星，最多 5 颗星","We've been betrayed.","2022年1月28日 在美国审核","","My, Uncle worked at IBM out of Fishkill NY where he worked on development of some of the legendary 'Super Computers' in the 60's and, 70's. The, Chinese in the 70's were sending PR Emissaries to the Tech, Energy and other Industries back then. He, he made a very disturbing statement to me. After one of their 'Friendship' Tours to his plant he, said to me 'These, people are going to cut our throats and take over the World. I, don't trust them one bit. This, is more than just business'.  I, understand now that the 'Greatest Generation' had more 'Skin (and Blood) in the game' than anyone else. This, was their America. They, wouldn't put it that way but they, paid for it and for our safety and prosperity.  California tauts itself for its schools and Silicon Valley. Let me tell you, California doesn't grow its own brains. They, import them. We, better start 'Waking Up' and end the coma of 'WOKING UP'. Do not be afraid of speaking your mind.","9 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhJgl0HHrH%252BS5q7%252BzsiqiNGoKFisOEz%252BBBwzYNcNOaXcQAAAAAGQvyp8AAAAB%26reviewId%3DR3IXB96IDJXM3W&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hJgl0HHrH%2BS5q7%2BzsiqiNGoKFisOEz%2BBBwzYNcNOaXcQAAAAAGQvyp8AAAAB&reviewId=R3IXB96IDJXM3W","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Julian Raven","5.0 颗星，最多 5 颗星","""The love of money is the route of ALL evil"" 1 Tim 6:10 - Schweizer exposes that route!","2022年3月20日 在美国审核","","Red Handed by Peter Schweizer is a meticulously documented account of the depths of human compromise when access and participation to the full potential of the Chinese economic machine is dangled in front of them. Tragically, those who have succumbed to the juicy temptations of prestige, access and obscene profits are selling out their own values and ideals in exchange for a share in the tantalizing treasure. Blinded by greed, these American patsies cannot see how much their Faustian bargains will cost their American children or their grandchildren.","1 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhD%252F7qqlROVxVglqr62HmlpacBySk%252BiMk5isq%252B%252Fs61EAUAAAAAGQvyqAAAAAB%26reviewId%3DROCJ403ASLJ85&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hD%2F7qqlROVxVglqr62HmlpacBySk%2BiMk5isq%2B%2Fs61EAUAAAAAGQvyqAAAAAB&reviewId=ROCJ403ASLJ85","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Robert. B.","1.0 颗星，最多 5 颗星","Who will read a book that gets the basic fact wrong?","2023年1月15日 在美国审核","","I threw this book away after reading Page 6. ""Nanjing Province‘？ Does this guy know anything about China at all? It seems he talked about Xinjiang. How could he misspelled Xinjiang as Nanjing？ How could he fail to see such a salient error? The West has been talking about Xinjiang for a few years so an average Joe could recognize this place now. Nanjing was China's former capital. Imagine a Japanese expert does not know Kyoto or a Russian expert does not know St. Petersburg! How come the editor also failed to see the error? I thought it must be published by an obscure publisher. How wrong I was! HarperCollins -- the Goldman Sachs of publishing! This is the status of America's China studies: ideology first, money a close second, and facts are in the ditches. Shame on the author. Shame on HarpoonCollins!","1 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhNQ3%252Fnc5KZqsI7dl1bOYqhUNY63nJXwgxz98e4gGhWfSAAAAAGQvyqAAAAAB%26reviewId%3DR2I08PBUZBU6GJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hNQ3%2Fnc5KZqsI7dl1bOYqhUNY63nJXwgxz98e4gGhWfSAAAAAGQvyqAAAAAB&reviewId=R2I08PBUZBU6GJ","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Colette","5.0 颗星，最多 5 颗星","Truth in Reporting","2022年4月8日 在美国审核","","Peter displays facts and tells us the truth unlike the MSM. Red-Handed is the most appropriate title. Also loved his other books: Secret Societies and Profiles in Corruption. Peter is articulate and easier to read than Mark Levin's. Both are brilliant patriots!","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhC7eHcfEa1BEyji9Cfzid6mxvaGQnOWXwZOMRbDtJXIMAAAAAGQvyqAAAAAB%26reviewId%3DR1V38RN3BO2MY9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hC7eHcfEa1BEyji9Cfzid6mxvaGQnOWXwZOMRbDtJXIMAAAAAGQvyqAAAAAB&reviewId=R1V38RN3BO2MY9","","0","当前加载评论时遇到问题。请稍后再试。"
"richard cebra","5.0 颗星，最多 5 颗星","THE ONE MUST READ BOOK OF 2022","2022年2月11日 在美国审核","","This is the one MUST READ book of 2022, you want to know what's behind the big mess we're in, it's right in this book.One example is Canadian dictator in waiting Justin Castro Trudeau's quote: “There’s a level of admiration I actually have for China. Their basic dictatorship is actually allowing them to turn their economy around on a dime..."" It's no wonder he's trying to force our friends in the Great White North under his thumb...and so much more... Biden's, Bush's, Members of Congress and the Senate, Wall Street, Academia, Big Tech Companies, big business, sports figures, all sold you out for personal gain.  get this book...","3 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhAMqKdp%252FGVMKqLVWOr5aD4MVk090uvwQHO1bHedZXGcjAAAAAGQvyqAAAAAB%26reviewId%3DR3B13LLJGJGDU4&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hAMqKdp%2FGVMKqLVWOr5aD4MVk090uvwQHO1bHedZXGcjAAAAAGQvyqAAAAAB&reviewId=R3B13LLJGJGDU4","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"John Manzari","5.0 颗星，最多 5 颗星","Pervasive moral and ethical corruption","2022年1月29日 在美国审核","","As I was growing up, I had complete faith in our leaders; however, over the past several decades I learned that trust unfortunately  should not be completly placed  in the government, business,  educational system and more. That does not mean all of our leaders are corrupt, but what has been been shown accurately in this book more people need to be held accountable. This includes currently governmental, business and all those identified in chapter headings. Peter S does us great service in this exposure. It used to be the news media that exposed this type of moral corruption, but they are lacking. Of course, this corruption is not partisan, but in  situations where a person or their family wheels power.","5 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhECbmaNWPSriFOvRpmao76%252Bm8XO62SAElQoxfe4a4H1YAAAAAGQvyqAAAAAB%26reviewId%3DRT8U2I01HE8ZD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hECbmaNWPSriFOvRpmao76%2Bm8XO62SAElQoxfe4a4H1YAAAAAGQvyqAAAAAB&reviewId=RT8U2I01HE8ZD","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Amazon Customer","5.0 颗星，最多 5 颗星","Our New Ruling Class","2022年4月27日 在美国审核","","The ""good"" rich people, according to Mr Bezos' newspaper.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhDwcv0yi5Uu0ekFn%252FzxaabUUqdsyP%252BUXQth%252B5IT1AEXOAAAAAGQvyqAAAAAB%26reviewId%3DRYT5WILEYA0XH&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hDwcv0yi5Uu0ekFn%2FzxaabUUqdsyP%2BUXQth%2B5IT1AEXOAAAAAGQvyqAAAAAB&reviewId=RYT5WILEYA0XH","","0","当前加载评论时遇到问题。请稍后再试。"
"Michael Rumpff","5.0 颗星，最多 5 颗星","Very informative and eye opening !!!","2022年4月25日 在美国审核","","Very interesting and informative.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhED0SyP6t9aBxR8Fr2x4uxpdgKCurjO%252BIAFxuCxB%252BnsRAAAAAGQvyqAAAAAB%26reviewId%3DRIK653N8EIWN2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hED0SyP6t9aBxR8Fr2x4uxpdgKCurjO%2BIAFxuCxB%2BnsRAAAAAGQvyqAAAAAB&reviewId=RIK653N8EIWN2","","0","当前加载评论时遇到问题。请稍后再试。"
"T","5.0 颗星，最多 5 颗星","Informative and scary","2022年4月22日 在美国审核","","Informative yet scary","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhNYgInM8JssVg%252Bu3dbm7ZKROiK7thHEIEWHKMiy7Y1iYAAAAAGQvyqAAAAAB%26reviewId%3DR2P71HRK0ONOO5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hNYgInM8JssVg%2Bu3dbm7ZKROiK7thHEIEWHKMiy7Y1iYAAAAAGQvyqAAAAAB&reviewId=R2P71HRK0ONOO5","","0","当前加载评论时遇到问题。请稍后再试。"
"Robin Peinsipp","5.0 颗星，最多 5 颗星","DC leaders bought by the CCP.","2022年2月24日 在美国审核","","Bush Sr. was bought by the CCP in 1972. Bush Jr. is owned by the CCP. McConnell is owened by the CCP and many Politicians in BOTH party's are controlled by the CC{P.If you don't like what I say - than read the book and tell me who you trust.At this point I trust one man - Donald J. Trump.","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhFkfJOHPVtAMbXlJ8y2CZAIs0uktwIj9i8p7P2rwj6XwAAAAAGQvyqAAAAAB%26reviewId%3DR5XJ3PYV7RO6U&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hFkfJOHPVtAMbXlJ8y2CZAIs0uktwIj9i8p7P2rwj6XwAAAAAGQvyqAAAAAB&reviewId=R5XJ3PYV7RO6U","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Gregory Thompson","5.0 颗星，最多 5 颗星","GREAT BOOK","2022年1月26日 在美国审核","","I loved the book, and the comment by the woman named sharon who trashed it, should wake up ?? First of all, if it's all lies like she says, how come he isn't being sued for defamation ??? Obviously she doesn't know what she's talking about.  About the book, READ IT, it will open your eyes on how BOTH some Democrats AND republicans are milking the system while the rest of us starve and can't get ahead of our bills because of inflation","8 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhEgRvo14Ov0FMdQX2CGttP4BHlF1pdQfM9hM5%252BabrK5cAAAAAGQvyqAAAAAB%26reviewId%3DR3METX64PAUT6P&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hEgRvo14Ov0FMdQX2CGttP4BHlF1pdQfM9hM5%2BabrK5cAAAAAGQvyqAAAAAB&reviewId=R3METX64PAUT6P","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"CHARLES G.","5.0 颗星，最多 5 颗星","An absolute terrifying eye opener","2022年2月27日 在美国审核","","An absolute must read. These people are giving away the whole game for personal gain. They need to he stopped before its too late (if it'd not already too late). I'll never look at anything the same anymore.","3 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhEoMMLXcM%252B2FHmuIyAwad%252Fdq2res4UT%252Bl7eFFfXayDpjAAAAAGQvyqEAAAAB%26reviewId%3DRQXISGS1KHLNX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hEoMMLXcM%2B2FHmuIyAwad%2Fdq2res4UT%2Bl7eFFfXayDpjAAAAAGQvyqEAAAAB&reviewId=RQXISGS1KHLNX","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Rich","5.0 颗星，最多 5 颗星","A copy of ""Red Handed"" needs to be sent to EVERY menber of the Department of InJustice!","2022年2月2日 在美国审核","","Peter is ""On Point"" as always! The Facts in his writings should ALL be investigated by our DOIJ, but Corruption has infested yet Another Govermment Agency. If they had ""Any"" honest leadership, all of this would be invetigated and instead of Hiding the results like usual, when it is of Democrat Party relation, it should be COMPETENTLY tried in Court and COMPETENTLY Convicted! I suggest reading ""Clinton Cash"" while you're at it. The Corruption in the Democrat Party is Unbelievable...and the Executive branch of our Govenment is either to afraid or to Corrupt to properly and Honestly investigate them!","3 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhObZGUVWlKyrH%252FIgr8%252FhmGhpvTCwku0oaG5yKbc83F8SAAAAAGQvyqIAAAAB%26reviewId%3DR1EWVTXUXS4F26&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hObZGUVWlKyrH%2FIgr8%2FhmGhpvTCwku0oaG5yKbc83F8SAAAAAGQvyqIAAAAB&reviewId=R1EWVTXUXS4F26","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Ron","5.0 颗星，最多 5 颗星","Boil the Frog","2022年2月25日 在美国审核","","My wife bought this book for her kindle and I also have read it.  China's slow and methodical take over of Congress, State Officials, Local officials is diabolical.  Your elected officials work for other countries and not for the United States.","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhNZKG%252BH4DHm%252BwsOJN4EUlBcA6%252BU5q7bt3zy08qyvEs5JAAAAAGQvyqIAAAAB%26reviewId%3DR26P4CRPZ606VC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hNZKG%2BH4DHm%2BwsOJN4EUlBcA6%2BU5q7bt3zy08qyvEs5JAAAAAGQvyqIAAAAB&reviewId=R26P4CRPZ606VC","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"David Hejna, Author of Utopia Café","5.0 颗星，最多 5 颗星","Everyone Should Read This Remarkable Book!","2022年3月6日 在美国审核","","Amazing research and investigative journalism at its best.  Clear and well-written with extensive footnotes.  The author is non-partisan in disclosing information about members of both parties.  The last chapter contains practical suggestions.  Everyone should read this remarkable book!","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhG2iAro%252BuBEBMRDnqTzgEHNTl3gj%252F4DN6M0dg5VLD29YAAAAAGQvyqIAAAAB%26reviewId%3DR2K6BTKHIWFGPR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hG2iAro%2BuBEBMRDnqTzgEHNTl3gj%2F4DN6M0dg5VLD29YAAAAAGQvyqIAAAAB&reviewId=R2K6BTKHIWFGPR","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Jami Anderson","5.0 颗星，最多 5 颗星","Eye opening and scary","2022年3月27日 在美国审核","","Great book that proves America needs to make some changes","1 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhF27UQSh2GRyMO0RPli87%252FgPmoxSO6KB%252BMX12Sna2%252B9%252BAAAAAGQvyqIAAAAB%26reviewId%3DRJY0R0LECRAGT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hF27UQSh2GRyMO0RPli87%2FgPmoxSO6KB%2BMX12Sna2%2B9%2BAAAAAGQvyqIAAAAB&reviewId=RJY0R0LECRAGT","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"a steady buyer","5.0 颗星，最多 5 颗星","Very compelling","2022年2月5日 在美国审核","","I learned a lot. American politicians are affected deeply by their Chinese affiliations. Nancy Pelosi just told everyone not to deride China in the Olympics because of her financial interests with them. It’s all in the book. I’d like to buy the paperback now. Once wasn’t enough.","4 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhEUMVvwkLWrYlQXZ6rVPX5v5edk2Y67r2rcrTBLd%252FGXdAAAAAGQvyqIAAAAB%26reviewId%3DROAJWP4O6CZF9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hEUMVvwkLWrYlQXZ6rVPX5v5edk2Y67r2rcrTBLd%2FGXdAAAAAGQvyqIAAAAB&reviewId=ROAJWP4O6CZF9","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Blowndodge","5.0 颗星，最多 5 颗星","We've been sold out.","2022年2月12日 在美国审核","","Everything in this book has documentation gathered by the Freedom of Information Act producing emails and more.  Nothing is left to conjecture or opinion.  It's what most of us thought about politicians.  It goes after both sides.  This makes it non partisan.","3 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhMK7Chwy2T%252FLMoclNI%252BHx4z4LRKK8k2EmgzXjXJd2dVmAAAAAGQvyqIAAAAB%26reviewId%3DRPWARPMNYYKHC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hMK7Chwy2T%2FLMoclNI%2BHx4z4LRKK8k2EmgzXjXJd2dVmAAAAAGQvyqIAAAAB&reviewId=RPWARPMNYYKHC","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
